SpeciesID,FeedID
1,9
2,1
3,1
4,2
5,17
6,8
7,12
8,6
9,6
10,11
11,5
12,4
13,14
14,1
15,19
16,2
17,2
18,4
19,9
20,18
21,5
22,14
23,12
24,9
25,1
26,13
27,11
28,1
29,3
30,12
31,4
32,7
33,3
34,12
35,2
36,4
37,20
38,12
39,15
40,9
41,2
42,3
43,15
44,5
45,15
46,10
47,2
48,2
49,7
50,3
51,5
52,9
53,11
54,10
55,2
56,8
57,6
58,5
59,3
60,7
61,1
62,12
63,7
64,4
65,3
66,1
67,4
68,9
69,5
70,5
71,9
72,16
73,3
74,2
75,6
76,4
77,5
78,2
79,9
80,5
81,3
82,15
83,4
84,4
85,4
86,5
87,4
88,14
89,1
90,18
91,12
92,5
93,11
94,1
95,3
96,18
97,19
98,6
99,9
100,2
101,6
102,1
103,5
104,14
105,11
106,16
107,17
108,2
109,5
110,1
111,5
112,3
113,4
114,2
115,4
116,2
117,5
118,20
119,5
120,1
121,16
122,19
123,18
124,2
125,5
126,7
127,1
128,15
129,8
130,8
131,5
132,20
133,4
134,4
135,18
136,15
137,5
138,4
139,1
140,18
141,2
142,5
143,6
144,1
145,16
146,18
147,1
148,10
149,2
150,15
151,1
